Source	Data
N2525	25.0437
N2525	22.7791
N2525	24.6458
N2525	24.2099
N2525	23.2972
N2608	24.2218
N2608	26.1657
N2608	24.8369
N2608	25.1501
N2608	26.2527
N2608	24.6669
N2608	24.6823
N2608	24.0133
N2608	23.7859
N2608	24.3669
N2608	25.0679
N2608	25.8684
N2608	23.5515
N2608	24.8304
N2608	25.6264
N2608	24.1837
N2608	24.4059
N2608	24.4417
N2608	24.5001
N2608	26.0925
N2608	24.034
N2608	23.9766
N3021	25.2885
N3021	25.5361
N3021	25.3456
N3021	25.5104
N3021	25.2338
N3021	24.9202
N3021	25.7328
N3021	24.4664
N3021	24.7316
N3021	24.7239
N3021	25.6036
N3021	24.6382
N3021	24.6993
N3021	24.6711
N3021	24.3799
N3021	23.9961
N3147	25.3099
N3147	26.0499
N3147	23.6622
N3147	24.7717
N3147	25.7418
N3147	24.1103
N3147	25.1661
N3147	24.9841
N3147	25.8198
N3147	26.4231
N3147	24.4494
N3147	25.2883
N3147	25.8308
N3147	24.3651
N3147	24.7287
N3147	24.6907
N3147	23.1541
N3147	25.7498
N3147	25.1728
N3147	24.9627
N3147	24.0594
N3147	25.1332
N3147	25.1832
N3147	26.0163
N3147	24.4479
N3147	25.26
N3147	25.004
N3254	25.0087
N3254	25.0765
N3254	25.5017
N3254	25.9629
N3254	24.1327
N3254	23.7476
N3254	24.0647
N3254	25.2555
N3254	23.8996
N3254	25.0325
N3254	25.2992
N3254	26.6052
N3254	25.9505
N3254	25.2346
N3254	23.8454
N3254	24.6421
N3254	23.7367
N3254	24.2348
N3254	25.164
N3254	23.8718
N3254	24.4826
N3254	25.1727
N3254	23.7329
N3254	24.8417
N3254	24.1555
N3254	24.284
N3254	24.3609
N3254	23.2854
N3254	23.43
N3254	24.3815
N3254	25.5738
N3254	25.4206
N3254	25.6036
N3254	23.9027
N3254	24.7585
N3254	24.7087
N3254	24.0364
N3254	24.1757
N3254	24.9524
N3254	24.3197
N3254	23.5155
N3254	24.4354
N3254	25.2796
N3254	23.4471
N3254	23.4874
N3254	23.793
N3254	24.9456
N3254	25.4726
N3370	25.2997
N3370	25.7397
N3370	25.592
N3370	25.1776
N3370	24.8905
N3370	25.21
N3370	24.6314
N3370	24.6943
N3370	25.4145
N3370	25.2297
N3370	25.8853
N3370	25.0315
N3370	24.5397
N3370	25.2834
N3370	25.4272
N3370	24.9599
N3370	24.715
N3370	24.8019
N3370	24.3379
N3370	25.4814
N3370	24.2446
N3370	25.4418
N3370	24.9279
N3370	24.6629
N3370	24.723
N3370	23.9396
N3370	24.2752
N3370	25.6528
N3370	24.4024
N3370	23.9374
N3370	25.291
N3370	24.4161
N3370	24.5498
N3370	24.2776
N3370	24.3559
N3370	24.1799
N3370	24.7737
N3370	24.5617
N3370	24.635
N3370	24.609
N3370	23.8141
N3370	24.0587
N3370	24.3622
N3370	24.9491
N3370	24.1521
N3370	23.8335
N3370	24.9941
N3370	23.5766
N3370	24.1576
N3370	23.3286
N3370	24.6887
N3370	23.9574
N3370	24.3339
N3370	23.7967
N3370	24.9023
N3370	24.0718
N3370	23.9849
N3370	24.3667
N3370	25.1879
N3370	23.9195
N3370	23.4415
N3370	24.0233
N3370	23.6277
N3370	23.3372
N3370	23.4353
N3370	23.1182
N3370	24.5101
N3370	23.1692
N3370	23.3539
N3370	22.731
N3370	24.0325
N3370	23.4355
N3370	23.1099
N3447	24.7379
N3447	25.1976
N3447	24.5481
N3447	24.716
N3447	24.443
N3447	24.9693
N3447	23.3754
N3447	24.8459
N3447	24.5665
N3447	23.7109
N3447	25.1918
N3447	24.6052
N3447	25.4582
N3447	24.6511
N3447	24.7821
N3447	23.9217
N3447	23.6739
N3447	24.846
N3447	25.5043
N3447	24.2844
N3447	24.2112
N3447	24.7524
N3447	24.4573
N3447	23.9678
N3447	24.9607
N3447	24.7665
N3447	25.2765
N3447	24.4269
N3447	24.0713
N3447	25.0363
N3447	24.7534
N3447	23.6866
N3447	24.0353
N3447	24.8307
N3447	25.2577
N3447	24.9972
N3447	24.0408
N3447	24.0935
N3447	25.0656
N3447	24.8868
N3447	23.5735
N3447	23.7563
N3447	24.4861
N3447	23.8593
N3447	25.0853
N3447	24.0624
N3447	25.1942
N3447	24.052
N3447	23.6916
N3447	25.3955
N3447	24.9955
N3447	24.7949
N3447	23.9369
N3447	23.8415
N3447	24.0307
N3447	24.6281
N3447	24.1775
N3447	24.2426
N3447	23.765
N3447	24.8413
N3447	23.6789
N3447	24.6899
N3447	25.5162
N3447	23.2279
N3447	24.543
N3447	22.7471
N3447	23.319
N3447	24.049
N3447	23.2797
N3447	24.5078
N3447	23.8666
N3447	25.2737
N3447	24.8608
N3447	25.683
N3447	24.4867
N3447	24.7489
N3447	23.8823
N3447	24.6694
N3447	22.9963
N3447	25.0922
N3447	24.4967
N3447	23.8164
N3447	24.9567
N3447	23.0252
N3447	23.2601
N3447	25.0057
N3447	24.6759
N3447	24.9551
N3447	24.5456
N3447	23.9875
N3447	24.6872
N3447	24.2125
N3447	24.6495
N3447	24.8497
N3447	23.9772
N3447	25.1167
N3447	24.2277
N3447	24.3493
N3447	22.4554
N3447	24.3976
N3447	25.4714
N3583	25.2207
N3583	24.7007
N3583	23.8987
N3583	25.7867
N3583	25.5975
N3583	23.9482
N3583	24.2442
N3583	25.7974
N3583	24.5495
N3583	24.2539
N3583	25.9693
N3583	23.9437
N3583	25.5071
N3583	24.7411
N3583	24.1325
N3583	25.4066
N3583	25.3482
N3583	24.3628
N3583	26.0162
N3583	25.5238
N3583	25.0044
N3583	24.8869
N3583	24.7072
N3583	24.5011
N3583	24.1661
N3583	24.4308
N3583	25.3981
N3583	26.0776
N3583	24.7328
N3583	24.7171
N3583	26.099
N3583	25.6405
N3583	25.522
N3583	24.889
N3583	25.6329
N3583	25.7605
N3583	24.0857
N3583	25.2097
N3583	25.1937
N3583	24.5904
N3583	25.5644
N3583	24.3406
N3583	24.3503
N3583	25.3927
N3583	25.1444
N3583	25.0736
N3583	24.5879
N3583	24.6974
N3583	25.0155
N3583	25.0644
N3583	23.6592
N3583	25.1385
N3583	24.6832
N3583	25.3289
N3972	25.2277
N3972	23.5489
N3972	24.9255
N3972	23.4229
N3972	24.1416
N3972	24.8662
N3972	24.8621
N3972	23.3783
N3972	24.0536
N3972	23.734
N3972	24.3918
N3972	23.4435
N3972	24.0814
N3972	25.286
N3972	24.8112
N3972	25.0162
N3972	23.046
N3972	24.8177
N3972	24.5014
N3972	24.9955
N3972	23.7829
N3972	24.3653
N3972	23.056
N3972	24.5331
N3972	23.0962
N3972	23.8443
N3972	23.2741
N3972	24.7031
N3972	23.0178
N3972	24.666
N3972	22.9087
N3972	25.1095
N3972	24.1908
N3972	24.3498
N3972	23.7122
N3972	24.9466
N3972	24.7709
N3972	24.5613
N3972	24.0059
N3972	23.2172
N3972	23.3115
N3972	24.6407
N3972	24.4252
N3972	25.066
N3972	24.5641
N3972	25.3184
N3972	24.8655
N3972	23.7841
N3972	23.3532
N3972	25.1295
N3972	25.6771
N3972	25.5481
N3982	24.5103
N3982	25.4027
N3982	23.9291
N3982	25.5965
N3982	24.36
N3982	25.168
N3982	25.3774
N3982	24.8512
N3982	24.5432
N3982	24.6912
N3982	24.9851
N3982	24.1099
N3982	25.0335
N3982	24.6729
N3982	23.4469
N3982	24.8836
N3982	23.8216
N3982	23.8167
N3982	24.1327
N3982	24.6139
N3982	23.9148
N3982	24.1189
N3982	24.0116
N3982	24.124
N3982	23.945
N3982	23.5956
N3982	22.9826
N4038	23.7437
N4038	23.8266
N4038	24.0605
N4038	24.3755
N4038	24.8373
N4038	23.6194
N4038	23.6427
N4038	23.5524
N4038	23.3003
N4038	23.7252
N4038	24.158
N4038	23.9123
N4038	23.5319
N4038	23.3301
N4038	22.9439
N4038	23.7363
N4038	23.1051
N4038	22.4656
N4038	23.4987
N4038	23.8126
N4038	22.8183
N4038	22.7175
N4038	22.4842
N4038	23.5124
N4038	23.1268
N4038	22.4221
N4038	22.7298
N4038	22.6002
N4038	22.6008
N4424	22.73
N4424	22.1028
N4424	23.7937
N4424	23.4943
N4424	23.7193
N4424	23.1609
N4424	23.418
N4424	24.4659
N4424	23.0969
N4536	23.7213
N4536	24.0541
N4536	24.237
N4536	23.1787
N4536	24.0862
N4536	24.3558
N4536	24.7576
N4536	23.8783
N4536	23.8379
N4536	24.3899
N4536	23.9952
N4536	24.4625
N4536	23.8442
N4536	23.9444
N4536	24.1167
N4536	23.3923
N4536	23.3579
N4536	23.634
N4536	23.4686
N4536	23.1703
N4536	23.177
N4536	22.702
N4536	22.2794
N4536	23.127
N4536	23.6533
N4536	23.1624
N4536	22.9909
