Paper: Title..., arXiv:251X.XXXXX
Authors: Högås M., Mörtsell E., Desmond H., Riess A.
Table: I
================================================================================
Byte-by-byte description of file: Table_I.txt
--------------------------------------------------------------------------------
Format Units Label    Explanations
--------------------------------------------------------------------------------
A5     ---   Field    Observed field
F11.8  dex   Phi_low  Lower bound of external potential
F11.8  dex   Phi_mean Mean external potential
F11.8  dex   Phi_high Upper bound of external potential
F12.8  dex   a_low    Lower bound of external acceleration
F12.8  dex   a_mean   Mean external acceleration
F12.8  dex   a_high   Upper bound of external acceleration
F12.8  dex   K_low    Lower bound of external curvature
F12.8  dex   K_mean   Mean external curvature
F12.8  dex   K_high   Upper bound of external curvature
F4.1   Mpc   Rmax     Cutoff radius
--------------------------------------------------------------------------------
Field       Phi_low   Phi_mean   Phi_high      a_low     a_mean     a_high       K_low      K_mean      K_high   Rmax
N4038      -5.72650   -5.16717   -4.85499  -14.93421  -14.54981  -14.31387   -55.16649   -54.80151   -54.61849    5.1
N4038      -4.63133   -4.51793   -4.39308  -14.63864  -14.56028  -14.23499   -54.95586   -54.72901   -54.52526   18.1
N4038      -4.01135   -3.96796   -3.91588  -14.62001  -14.41421  -14.19305   -54.81926   -54.69391   -54.58805   50.0
N4424      -8.03061   -7.90575   -7.88797  -14.99126  -14.82450  -14.73938   -54.57482   -54.36679   -54.34348    0.4
N4424      -6.46966   -6.37385   -6.27578  -14.87653  -14.77066  -14.66392   -54.35983   -54.27430   -54.20008    1.4
N4424      -5.26673   -5.16335   -4.98665  -14.56427  -14.37929  -14.22864   -54.25737   -54.16963   -54.06837    5.1
N4424      -4.49716   -4.45955   -4.31673  -14.37224  -14.26764  -14.11423   -54.21647   -54.14639   -54.03516   18.1
N4424      -4.03171   -3.98706   -3.94255  -14.29688  -14.17131  -14.03801   -54.19406   -54.08126   -54.01720   50.0
N4536      -8.16866   -8.01757   -7.97442  -14.85242  -14.75737  -14.75737   -54.68073   -54.66458   -54.51479    0.4
N4536      -6.69210   -6.57560   -6.45612  -14.86427  -14.73159  -14.68663   -54.55897   -54.49910   -54.42662    1.4
N4536      -5.60602   -5.48544   -5.30319  -14.69808  -14.61032  -14.51745   -54.55054   -54.47855   -54.36586    5.1
N4536      -4.54963   -4.49550   -4.35756  -14.51252  -14.40225  -14.21889   -54.47617   -54.36342   -54.27766   18.1
N4536      -4.04386   -3.99489   -3.97185  -14.45806  -14.31678  -14.17536   -54.41975   -54.31056   -54.25594   50.0
N4639      -7.96404   -7.91628   -7.84915  -14.76699  -14.67154  -14.59504   -54.61057   -54.39746   -54.39746    0.4
N4639      -5.86281   -5.71598   -4.88940  -14.70239  -14.58473  -13.77200   -54.06505   -53.87210   -52.82027    1.4
N4639      -5.03087   -4.83425   -4.62300  -14.42199  -14.12937  -13.88076   -54.01450   -53.83776   -53.18689    5.1
N4639      -4.42002   -4.32221   -4.23415  -14.22156  -14.01082  -13.72753   -53.98979   -53.80394   -53.07240   18.1
N4639      -4.01769   -3.97267   -3.92040  -14.15302  -14.02976  -13.64222   -53.90668   -53.63180   -53.20896   50.0
N4680      -8.52415   -8.32874   -8.30756  -15.95305  -15.78713  -15.47384   -55.30841   -55.30841   -54.77056    0.4
N4680      -7.42052   -7.22511   -7.12752  -15.94866  -15.78713  -15.46708   -55.30841   -55.30841   -54.85513    1.4
N4680      -6.24729   -6.14441   -5.95251  -15.88434  -15.76933  -15.45268   -55.30011   -55.30011   -54.80317    5.1
N4680      -4.61028   -4.52720   -4.39423  -14.93815  -14.68386  -14.55766   -54.95432   -54.95432   -54.66037   18.1
N4680      -3.96382   -3.92665   -3.90210  -14.84412  -14.78146  -14.60466   -54.84091   -54.84091   -54.59092   50.0
N5468      -8.86277   -8.73210   -8.73210  -15.91497  -15.82852  -15.61116   -55.64999   -55.49007   -55.49007    0.4
N5468      -6.36243   -6.19191   -5.99885  -15.39131  -15.12337  -14.90909   -54.82720   -54.53917   -54.36075    1.4
N5468      -6.14134   -6.02535   -5.81083  -15.40228  -15.21455  -14.88099   -54.80499   -54.64408   -54.35629    5.1
N5468      -5.08433   -5.04097   -4.95183  -15.20283  -15.07586  -14.89382   -54.76358   -54.61287   -54.40834   18.1
N5468      -4.05103   -4.03274   -3.99645  -14.52089  -14.43521  -14.43139   -54.59520   -54.59520   -54.27733   50.0
